CNA,ErrorCode,ErrorName,ErrorCount
crafter,E004,check-leading-trailing-space,1
dahua,E007,check-invalid-version-string,47
dahua,E008,check-invalid-vendor-string,26
debian,E002,check-duplicate-reference-url,19
debian,E007,check-invalid-version-string,621
debian,E008,check-invalid-vendor-string,566
debian,E009,check-invalid-product-string,509
dell,E004,check-leading-trailing-space,311
dell,E006,check-affected-product-present,1
dell,E007,check-invalid-version-string,1789
dell,E008,check-invalid-vendor-string,473
dell,E009,check-invalid-product-string,323
directcyber,E004,check-leading-trailing-space,4
dotCMS,E007,check-invalid-version-string,3
drupal,E004,check-leading-trailing-space,1
drupal,E007,check-invalid-version-string,51
drupal,E008,check-invalid-vendor-string,3
drupal,E009,check-invalid-product-string,1
duo,E007,check-invalid-version-string,1
duo,E008,check-invalid-vendor-string,1
duo,E009,check-invalid-product-string,1
dwf,E007,check-invalid-version-string,133
dwf,E008,check-invalid-vendor-string,3
eclipse,E004,check-leading-trailing-space,11
eclipse,E007,check-invalid-version-string,25
eclipse,E008,check-invalid-vendor-string,1
eclipse,E009,check-invalid-product-string,1
elastic,E004,check-leading-trailing-space,6
elastic,E006,check-affected-product-present,1
elastic,E007,check-invalid-version-string,125
elastic,E008,check-invalid-vendor-string,4
elastic,E009,check-invalid-product-string,4
f5,E004,check-leading-trailing-space,71
f5,E007,check-invalid-version-string,431
f5,E008,check-invalid-vendor-string,246
f5,E009,check-invalid-product-string,1
facebook,E007,check-invalid-version-string,15
facebook,E008,check-invalid-vendor-string,1
facebook,E009,check-invalid-product-string,1
fedora,E004,check-leading-trailing-space,7
fedora,E006,check-affected-product-present,10
fedora,E007,check-invalid-version-string,111
fedora,E008,check-invalid-vendor-string,110
fedora,E009,check-invalid-product-string,1
flexera,E002,check-duplicate-reference-url,13
flexera,E007,check-invalid-version-string,493
flexera,E008,check-invalid-vendor-string,444
flexera,E009,check-invalid-product-string,427
floragunn,E007,check-invalid-version-string,2
forcepoint,E004,check-leading-trailing-space,5
forcepoint,E006,check-affected-product-present,3
forcepoint,E007,check-invalid-version-string,18
forcepoint,E008,check-invalid-vendor-string,4
fortinet,E003,check-description-length,212
fortinet,E007,check-invalid-version-string,391
fortinet,E008,check-invalid-vendor-string,39
fortinet,E009,check-invalid-product-string,12
freebsd,E002,check-duplicate-reference-url,2
freebsd,E004,check-leading-trailing-space,3
freebsd,E007,check-invalid-version-string,156
freebsd,E008,check-invalid-vendor-string,87
freebsd,E009,check-invalid-product-string,35
google_android,E004,check-leading-trailing-space,85
google_android,E007,check-invalid-version-string,2396
google_android,E008,check-invalid-vendor-string,3103
google_android,E009,check-invalid-product-string,571
hackerone,E004,check-leading-trailing-space,48
hackerone,E007,check-invalid-version-string,1219
hackerone,E008,check-invalid-vendor-string,571
hackerone,E009,check-invalid-product-string,160
hikvision,E004,check-leading-trailing-space,2
hikvision,E007,check-invalid-version-string,86
hikvision,E008,check-invalid-vendor-string,1
hikvision,E009,check-invalid-product-string,1
hp,E002,check-duplicate-reference-url,594
hp,E004,check-leading-trailing-space,3
hp,E007,check-invalid-version-string,1039
hp,E008,check-invalid-vendor-string,723
hp,E009,check-invalid-product-string,646
hpe,E004,check-leading-trailing-space,184
hpe,E006,check-affected-product-present,18
hpe,E007,check-invalid-version-string,2473
hpe,E008,check-invalid-vendor-string,645
hpe,E009,check-invalid-product-string,6
huawei,E004,check-leading-trailing-space,16
huawei,E007,check-invalid-version-string,1888
huawei,E008,check-invalid-vendor-string,449
huawei,E009,check-invalid-product-string,12
ibm,E002,check-duplicate-reference-url,6
ibm,E004,check-leading-trailing-space,120
ibm,E007,check-invalid-version-string,2549
ibm,E008,check-invalid-vendor-string,1854
ibm,E009,check-invalid-product-string,1835
icscert,E004,check-leading-trailing-space,360
icscert,E007,check-invalid-version-string,3011
icscert,E008,check-invalid-vendor-string,1404
icscert,E009,check-invalid-product-string,570
